Order_Title,Details,Start_Time,Location
Shuhada ....Anak mee jiran jitra 0 12-550 5314,"100 pax students BUNGKUS 
  01. Nasi tomato
  02. Ayam masak merah
  03. Sayur campur
  04. Air sirap tong
RM 10.00 X 100.00 = RM 1000.00

VIP 2 set dom (20 orang)HIDANG 
  01. Nasi tomato
  02. Ayam masak merah
  03. Sayur campur
  04. Buah
  05. Air sirap
RM 17.50 X 20 = RM 350.00

Minum petang BUNGKUS
  01. Karipap
  02. Bingka ubi
  03. Sirap tong
RM 3.50 x 100 = RM 350.00

Bawa meja bulat 2
Bawa alas damas dan top
Dom 2
Waiters satu

Jumlah semua RM 1700.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-01-14T13:00:00+08:00, Pantai cunang tanjung sepat selangor .
Dbkl kepong - usop,No Details,2023-01-15T12:30:00+08:00,No Location
Dato bandar,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 03/2023*
-*17/01/2022(Selasa)*
-*Jam 8.00 malam*

*Menu*
-50 pax

Makan Malam
============
-Nasi Minyak
-Ayam berempah
-Sambal udang
-Dalca sayur
-Buah-buahan
50pax (30 hidang & 20 bungkus)

-Teh Tarik & Kopi O (30 HIDANG)
Air mineral - 20
*Bawa 2 buah jug untuk isi air kosong (ambil dari mesin Cuckoo Tingkat 29)*

-Sediakan Tisu
*READY MAKANAN JAM 7.45 MALAM*",2023-01-17T23:00:00+08:00,No Location
SMK KEPONG BARU - KAK IZAN,"4 set dome
32 sarung kerusi bankuet & reben
4 alas meja dan damas
3 org pekerja

HOLDING ROOM (8 pagi)
VIP - HIDANG
10 ORANG
2 JENIS KUIH
BUAH
TEH O PANAS
AIR MINERAL

MAKAN TENGAH HARI
PELAJAR - BUNGKUS 
320 PAX
Makan jam 9 pagi

NASI BERIANI
AYAM MASAK MERAH
JELATAH
AIR MINERAL



MAKAN TENGAH HARI (10 pagi)
 GURU & VIP
BUFFET & HIDANG DOME
150 + 32

NASI BERIANI
AYAM MASAK MERAH
IKAN FILLET SWEET SOUR
JELATAH
DALCA
PAPEDOM
BUAH POTONG
MINUMAN SIRAP LIMAU
M
",2023-01-18T09:00:00+08:00,Smk kepong baru
Dr sim hospital +60 16 718 9217,"40 orang 12.00 tgh 
Tempat : Wad 4a/4b
MENU
  01. Nasi beriani
  02. Ayam masak merah (sambal)
  03. Ayam masak hitam
  O4. Dalca
  05. Jelatah 
  06. Buah
  07. Air sirap
RM 15.00 X 40 = RM 600.00 
Pramusaji 1 org = RM 100.00

JUMLAH RM 700.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-01-18T12:00:00+08:00,Hospital selayang
Puan ina  0 12-363 7670,"Bawa meja buffet alas merah cili

80 org 10.00 pagi
Menu 2
01. Nasi beriani 
02. Dalca daging
03. Ayam rendang
04. Jelatah 
05. Buah 
06. Air sirap limau
RM 12.00

JUMLAH RM 960.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-01-20T10:00:00+08:00,Wana motor sdn bhd lot 56203 batu 5 1/4 jalan cheras kl
Kenduri pak su pak tam,No Details,2023-01-21T12:00:00+08:00,No Location
Perodua +60 13-380 5405 (kak linda mahadi),"Bungkus bento box
270 pax
8 pagi
(Pukul 10 kena sampai dah kat dia)

Nasi goreng cina
Sup kosong
Ayam goreng kunyit + salad
Sambal belacan (masuk dalam satu container besar je, sape nak dia ambik, tak payah bungkus satu2)

Dadih coklat
Buah tembikai

Tak perlu air",2023-01-27T11:00:00+08:00,Taman sinar harapan- kuala kubu bharu
King wong 019-772 2591,"Meja 15 set
Warna merah
Meja buffet satu
RM 675.00

120 org 11.00 pagi
MENU 16
01. Nasi putih
02. Nasi minyak/beriani dlk 
02. Ayam goreng berempah
03. Rendang daging + hati + perut + limpa dan paru rendang
04. Dalca 
05. Masak lemak nangka + ikan bilis
06. Sambal udang petai(saiz sederhana)
07. Ulam sambal belacan 
08. Air sirap oren
09. Teh tarik 
10. Buah buahan
RM 25.00 x 120 = RM 3000.00

JUMLAH RM 3675.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-01-27T11:00:00+08:00,"Wing Seong Fatt ,construction sdn, no 9 jalan bukit Rawang jaya, kawasan perindustrian Rawang jaya, bukit Rawang jaya,48000 Rawang, Selangor darul Ehsan "
Daison yap 012-305 8566,"Meja buffet (foc)
4 Meja bulat (Set rm 35.00)
Pasang siap dan tinggal
RM 140.00

80 pax 11.00 pagi
  01. Nasi putih
  02. Ayam goreng berempah
  04. Dalca
  05. Buah2 
  06. Air sirap
RM 12.00 x 80 = RM 960.00

Tambahan
  07. Kari ayam RM 5.00
  08. Sambal udang RM 6.00
  09. Sambal ikan bilis RM 4.00
RM 15.00 x 80 = RM 1200.00

Set petang
  10. Goreng bihun Siam 
  11. kuih2
        i. Karipap
       ii. Bingka ubi
RM 8.00 x 80 = RM 640.00

JUMLAH RM 2940.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-01-28T11:00:00+08:00,No 16 jln Wangsa 1/6 taman Wangsa Permai. 52200 Kepong KL
Mizan,"300 org 11.00 pagi
  01. Nasi putih
  02. Nasi beriani
  03. Ayam goreng berempah
  04. Papedom
  05. Buah
  06. Ulam sambal belacan
  07. Air sirap
  08. Teh tarik
RM 3000.00

Kambing aqiqah",2023-01-29T10:00:00+08:00,No Location
Bang zul bidara,"AKIKAH (RM 3000.00)
Kambing 2 ekor 
Nama : Hud Hafiy Bin Mohamad Hawari
MENU:
  01. Kambing masak pasamah

HOLDING ROOM (RM 300.00)
60 org 11.00 pagi (VIP masuk)
  01. Jus  + straw kecik boleh kepak
  02. kacang 
  03. Assorted cut fruit (tembikai,honey dew,anggur)
  04. Kopi 
  05. Teh tarik

MEJA PEGANTIN. ( RM 500.00)
10 org 12.25 tgh pengantin masuk 
MENU
  01. Udang buang kulit butter
  02. Ikan siakap potong sweet sour
  03. Telur puyuh sambal
  04. DAN TAMBAHAN LAUK DARI MENU UTAMA
Hi table 2 waiter 

DALAM DEWAN UTAMA (RM 900.00)
Meja VIP dom 6 (RM 150 x 6 )
60 pax 12.00 tengahari
MENU
  01. Nasi beriani dan nasi putih (serve)
  02. Dalca 
  03. Ayam greng rempah 
  04. Daging rendang tok
  05. Kambing pesamah
  06. Acar buah
  07. Buah tembikai dan oren 
  08. Air sirap kampung masak
  09. Trifle
  10. Kopi O kosong gula asing

DALAM DEWAN UTAMA (RM 9800.00)
700 org 10.00 pagi (10.30 dah nak makan)
MENU 4 ( RM 14.00 x 700)
  01. Nasi beriani (dlm termos)
  02. Nasi putih (dlm termos)
  03. Dalca 
  04. Ayam greng rempah 
  05. Daging rendang tok
  06. Kambing pesamah
  07. Acar buah
  08. Buah tembikai dan oren 
  09. Air sirap kampung masak
TAMBAHAN
  12. Teh tarik 6 termos..rm 300.00
  13. Mineral utk setiap meja (60 meja)= rm 120.00

Tuan majlis oder
  01. Tapai
  02. Kuih 3 jenis
         i. Seri muka
        ii. Bingka ubi
       iii. Koci
Beli piring pakai buang RM 100.00

Buffet pakai lilin
Nasi pakai termos

JUMLAH RM 15,020.00
",2023-01-29T11:00:00+08:00,Ideal convention center
Appointment h.sg.buloh,No Details,2023-01-30T09:00:00+08:00,No Location
Uitm selayang dr amirah,"85 pax 3x makan - buffet
1 pramusaji

31/1/2023

Sarapan pagi
  01. Set nasi lemak
  02. Telur mata
  03. jenis kuih
  04. Minuman panas
RM 10/pax

Makan tengah hari
  01. Nasi putih
  02. Ayam goreng berempah
  03. Daging kari + kentang
  04. Sayur campur
  05. Ulam-ulaman
  06. Sambal belacan
  07. Buah-buahan
  08. Air sirap
  09. Teh tarik
RM 15/pax

Minum petang
  01. Sandwich telur atau tuna (2 mini pcs)
  02. 2 jenis kuih
  03. Teh tarik /nescafe
RM 8/pax


Rm33/pax (sehari)",2023-01-31T07:00:00+08:00,Dewan peperiksaan Tingkat 3 fakulti perubatan
Uitm selayang dr amirah,"Pagi - 50 orang
Tgh hari & petang - 85 orang
3x makan - buffet

1 pramusaji 

Sarapan pagi (50 orang)
  01. Bihun goreng (5 vege)
  02. 2 jenis kuih
  03. Minuman panas
RM 8/pax

Makan tengah hari (85 orang)
  01. Nasi minyak
  02. Ayam masak ros
  03. Daging kicap
  04. Dalca sayur
  05. Acar jelatah
  06. Buah
  07. Teh tarik
  08. Air sirap limau
RM 15/pax

Minum petang (85 orang)
  01. Bubur kacang
  02. 2 jenis kuih
  03. Minuman panas
RM 6/pax


Rm29/pax (sehari)",2023-02-01T06:30:00+08:00,Dewan peperiksaan Tingkat 3 fakulti perubatan
Dbkl batu,"2 x mkn
50 org bungkus
Pagi dan tengahari

Pagi
Bihun grg
2 kuih
Air kotak

Tengahari
Nasi beriani
Ayam masak merah 
Acar timun
Papadom 
Buah
Air mineral 

",2023-02-02T07:30:00+08:00,Pej.caw.batu
Ustazah hasmilawati +60 11-6174 3191,"Tarikh : 3/2/2023
10 pagi dah nak makan

Guru- guru ( 135 + 5 vege - bungkus)
Nasi minyak
Ayam masak merah/tauhu
Jelatah
Drinking water
RM 10 x 140 = RM 1400

VIP 16 pax

Menu
Nasi minyak 
Ayam masak merah/kari (saya cadangkan yang berkuah sbb menu ni takde kuah)
Jelatah
Buah
Air sirap/oren
RM 13 x 16 pax = RM 208

Hidangan VIP (set hidang)
RM 130 x 2 set = RM 260

Total: RM 1868.00",2023-02-03T09:00:00+08:00,Smk kepong baru
Hj rashid,"70 org 6.00 ptg

Menu satu
  01. Nasi putih
  02. Ayam black pepper
  03. Ikan asam pedas
  04. Sayur campur
  05. Ulam sambal belacan 
  06. Air sirap
RM 15.00 x 70 = RM 1050.00

Set kedua
  07. Sup daging + tulang
        i. Bihun
       ii. Roti pak tam
  08. Kopi O
  09. Teh tarik
RM 7.00 x 70 = 490.00
 
RM 1540.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-02-03T18:00:00+08:00,Desa melor
Hj rashid,"Khemah tuan rumah sendiri
Buat meja buffet 2
Buat meja pegantin
Bawa meja untuk letak lauk kat khemah pantry
Kain utk tutup tepi khemah pntry
Siap khemah mlm jumaat 

1800 org 11.00 pagi
  01. Nasi minyak
  02. Nasi putih
  03. Ikan talang masak lemak nenas
  04. Daging kuzi
  05. Ayam goreng berempah
  06. Dalca
  07. Jelatah
  08. Ulam sambal belacan
  09. Buah 
  10. Sirap limau
  11. Teh tarik

RM 14.00 X 1800 = RM 25,000.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-02-04T11:00:00+08:00,Desa melur
Kamarudin bin lat,"Meja kerusi siap seting RM 1300.00 ( 30 meja)
Meja pegantin (foc)
Lauk pegantin rm 200.00
Meja gift (foc)
Warna Putih merah
5 Dom RM 500.00
Waiters 6 org
MENU.
350 org 11.00 pg
  01. Nasi putih 70%
  02. Nasi beriani 30% beras basmati pusa
  03. Ayam zulja dan air asam
  04. Kari daging kentang
  05. Sambal belacan 
  06. Ulam Ulaman 
  07. Ikan Masin 
  08. Air sirap
Rm 15.00 x 350 = 5250.00

Tambahan
  09. Masak lemak pucuk paku
Dan nangka masak lemak
  10. air dringking atas meja 
Rm 3.00 x 350 = 1050.00
  11. Tempe cili
Rm 3.00 x 350 = 1050.00

Tambahan Waiters 
3 org rm 300.00

JUMLAH 9600.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-04T11:00:00+08:00,Dewan sri melati selayang jaya
Ma Zawawi ,"120 org 11.00 pg
80 buffet 40 bungkus

MENU 2
01. Nasi beriani 
02. Dalca
03. Ayam masak merah
04. Jelatah 
05. Air sirap

RM 1200.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-02-08T11:00:00+08:00,Wad 6b hospital selayang 
DBKL DATO BANDAR,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 05/2023*
-*08/02/2023(Rabu)*
-*Jam 8 malam*

*Menu*
-60 pax

Makan malam
==============
- nasi goreng ayam kunyit
- Sambal Udang
- Kuih 2 Jenis (Pedas & Manis)
- Buah pisang
- Air Panas (Teh Tarik & Kopi O)
40 pax ( Hidang )
20 pax bungkus 
20 botol air mineral

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 gelas untuk kegunaan DATUK BANDAR (ambil dari mesin Cuckoo Tingkat 29)*

-Sediakan Tisu",2023-02-08T17:00:00+08:00,No Location
Sarjan mehat. 012-362 5252,"Meja 5 set RM 225.00
Seting dan bawa brg pagi 10hb feb 23

100 org 11.00 pagi
MENU 5
01. Nasi putih 
02. Ayam masak kicap 
03. Daging masak lemak cili api 
04. Sayur campur 
05. Ulam Sambal belacan
06. Buah 
07. Minuman kordial
RM 14.00 X 100 = RM 1400.00

JUMLAH RM 1625.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-10T11:00:00+08:00,Block G3
Afnan titiwangsa ,"350 org bungkus 

Nasi minyak
Ayam masak merah
Acar timun
Papadom
Buah
Air mineral
",2023-02-11T10:00:00+08:00,"Dewan sekolah datuk keramat 2 ,jln keramat 54000 kg datok keramat"
Dbkl wahida - en hashim 0132380544,"200 org
Bungkus lunch
Menu 2
Nasi minyak
Ayam masak merah
Dalca
Papadom 
Buah
Air drinking",2023-02-12T10:00:00+08:00,Kafa nurul muttaqin
Dbkl wahida 2. -ramly 01125294100,"250 org
Buffet
Lunch
Nasi minyak 
Ayam masak merah 
Dalca 
Papadom 
Buah
Air kordial ",2023-02-12T10:30:00+08:00,Gelanggang badminton taman melati (mastika) setapak
Ujang polis,"Khemah satu arabian RM 500.00
Kambing upah RM 700.00
Kambing masak kuzi

250 org 11.00 pg
MENU 3
01. Nasi putih
02. Masak lemak nenas
03. Ayam greng rempah 
04. Ulam sambal belacan
05. Buah buahan
06. Air sirap limau
RM 12.00 × 250 = RM 3000.00
07. Mee kari 50 orang RM 300.00
08. Teh tarik 2 tong RM 100.00

JUMLAH RM 4600.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-12T11:00:00+08:00,"No 80 putri haight 14, country home ,rawang"
Appointment h.sg.buloh,No Details,2023-02-13T08:00:00+08:00,No Location
Afnan titiwangsa ,"150 org bungkus
Set nasi minyak
Ayam grg berempah
Dalca
Buah
Air mineral 
",2023-02-14T10:00:00+08:00,SRA al akram jln keramat  kl
Dina +60 17-336 0065,"300 pax 10.00am

Bawak meja buffet 

2 khemah - RM 1000/ khemah
10 set meja, alas meja, table runner merah
80 kerusi , alas kerusi
Scalop warna merah gold
RM 1000.00

PA system : RM 650.00

2 orang pelayan RM 200.00

Menu 1 - 
  01. Nasi tomato
  02. Ayam merah
  03. Dalca daging
  04. Acar jelatah
  05. Buah
  06. Air oren
RM 12/pax x 300 = RM 3600.00
Tambahan:
-Teh tarik ...RM 1.50 x 300 =  RM 450.00

JUMLAH
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
*Zulja Quality Enterprise*
CIMB BANK
8000 828 762",2023-02-15T09:00:00+08:00,"Lokasi : No.1-G, Jalan Keluli AM 7/AM, Taman Perindustrian Bukit Raja Selatan, 40000 Shah Alam, Selangor."
DBKL KEPONG MONA 011-2708 7495,"280 pax bungkus
20 org hidang
6 ptg
Menu 2
Nasi tomato 
Ayam masak merah
Acar jelatah
Papadom 
Buah
Air mineral 


",2023-02-15T17:00:00+08:00,Kafa tmn permata fardeson 
Dbkl lembah pantai..en hafiz 0192734242 hj yaakub,"100 org bungkus
Mkn tghari
Nasi ayam set",2023-02-16T10:00:00+08:00,Dewan org ramai bukit c2/surau tmn bukit angkasa
Dato bandar,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 06/2023*
-*Tarikh : 16/02/2023(Khamis)*
-*Masa : 8 malam*
-*Tempat : Bilik Putra, Tingkat 29, Menara DBKL 1, Jalan Raja Laut*

*Menu Rate RM25.00*
- 60 pax

Makan Malam
==============
- Nasi Goreng Ayam Paprik
- Sambal Udang
- Kuih 2 Jenis
- Buah (Selain Buah Tembikai)
- Teh Tarik & Kopi O
- Air Mineral (20 pax - Menu Bungkus)
40 pax ( Hidang )
20 pax ( Bungkus ) 

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 gelas untuk kegunaan DATUK BANDAR (ambil dari mesin Cuckoo Tingkat 29)*

-Sediakan Tisu",2023-02-16T11:30:00+08:00,No Location
Nak pegi tukar bateri  tel,No Details,2023-02-16T16:30:00+08:00,No Location
Hj rasih,"Bawa meja buffet
100 orang 6.00 ptg
1-Nasi putih
2-ayam black papper
3-Ikan masin masak lemak nenas
4-Sup tulang n daging
5-Roti Pak Tam
6-Sambal belacan n ulam
7-Buah orange dan tembikai
8-Teh tarik n sirap 
",2023-02-16T20:00:00+08:00,Masjid attayibin bidara
Appointment jumpa customer,No Details,2023-02-17T18:00:00+08:00,No Location
Dbkl wahida,"100 org
Sarapan pagi
Nasi lemak set",2023-02-18T08:00:00+08:00,"Pusat komersial wangsa setia, jalan wangsa setia 3"
 Nur Atiqah Hisham  012-230 7279,"
Nama anak utk aqiqah : 
Muhammad Aaron Safwan bin Muhammad Syazwan

MASAK KAMBING KARI SAHAJA 
TUAN RUMAH DATANG AMBIL

Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762
",2023-02-18T11:00:00+08:00,"Masak kambing sahaja tuan rumah datang ambilAlamat rumah : 8664, jalan nakhoda dalam Kampung nakhoda"
Bang harun selayang utama ,"Khemah arabian satu set RM 500.00
Tambahan meja 4 dekat depan rumah RM 150.00
Meja tambahan
Kambing akikah satu RM 1500.00
Nama:Syafiqah nurhannah binti mohd faiz
 
200 org 11.00 pagi
  01. Nasi putih
  02. Kambing masak kurma tambah kambing kotak
  03. Ayam goreng berempah 
  04. Sayur campur
  05. Ulam sambal belacan
  06. Buah buahan
  07. Air sirap
Rm 12.00 x 200 = rm 2400.00
  08. Teh tarik
Rm 1.00 x 100 = rm 100.00

JUMLAH RM 4650.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-18T11:00:00+08:00,Selayang utama
Kak susie,"35 org
4 petang (self pickup)
Nasi putih
Masak lemak kuning ikan masin dgn nenas
Isi ikan masak tiga rasa
Ayam goreng berempah
Ikan masin ",2023-02-18T15:00:00+08:00,No Location
Dbkl afnan ,"300 org bungkus
Mkn mlm
Nasi putih 
Ayam paprik 
Daging kicap
Ulam
Sambal belacan 
Buah
Air mineral ",2023-02-18T17:00:00+08:00,Masjid al akram keramat kl
Dbkl lembah pantai..en.hafis,"100 org mkn mlm bungkus
Set nasi beriani",2023-02-18T18:30:00+08:00,Madrasah alsyukriah kg pasir baru
Tuan sam  0 17-663 3155,"100 org 11.00 pagi
MENU 9
01. Nasi putih 
02. Ayam masak kicap 
03. Daging masak lemak cili api 
04. Sayur kankung goreng belacan
05. Ulam Sambal belacan
06. Buah 
07. Teh tarik
08. Minuman kordial
RM 15.00

JUMLAH RM 1500.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-19T12:00:00+08:00," No. 49, Jalan Tasik Senangin 16/10, Bandar Tasik Senangin, 71750 Lenggeng. Negeri Sembilan. 017-6633155"
Jumpa customer lepas maghrib,No Details,2023-02-20T15:00:00+08:00,Segambut
Ayu nekmat,"80 orang
10 pagi


Nasi putih
Daging kentang masak lemak
Sayur jawa
Ayam goreng bali
Ulam sambal belacan
Buah
Air teh tarik
Mineral water - 250ml",2023-02-23T10:00:00+08:00,No Location
DBKL KEPONG MONA 011-2708 7495,"60 pax bungkus
Makan malam
Nasi putih 
Ayam paprik 
Daging kicap 
Ulam
Sambal belacan 
Air teh tarik


",2023-02-24T17:00:00+08:00,No Location
Kak nor abg mail,"Laksa 500 org
",2023-02-25T10:00:00+08:00,No Location
Dbkl lembah pantai..en.hafiz..01163592447 hj abd aziz,"100 org 11.00 pagi ( BUNGKUS )

Nasi tomato set 
Ayam masak merah
Acar timun
Papadom 
Buah
Air nineral",2023-02-25T10:00:00+08:00,Surau nurul iman tmn sri sentosa jln klang lama
Junita 019-266 9427,"Bawa meja buffet
Apam balik RM 500.00
Buffet
200 pax 4.00 ptg
MENU 2
01. Nasi beriani 
02. Dalca daging
03. Ayam greng rempah 
04. Acar rampai
05. Buah 
06. Air sirap limau
07. Teh tarik 2 termos (100 org)RM 150.00
RM 12.00 x 200 = RM 2400.00

JUMLAH RM 3050.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-25T16:00:00+08:00,"No 33 Jalan adenium 5B/6  , bukit beruntung,48300 Rawang Selangor"
Kenduri anuar kurus smpn,No Details,2023-02-26T11:00:00+08:00,No Location
Wan,"50 org 11.00 pagi
  01. Nasi tomato
  02. Ayam masak merah 
  03. Dalca sayur 
  04. Jelatah
  05. Papedom
  06. Air sirap
RM 12.00 x 50 = rm 600.00
Wairter rm 100.00

JUMLAH RM 700.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-02-28T19:30:00+08:00,Jabatan kecemasan
Mejer Amalina. 019-343 2301( waiter grup ali),"Khemah 2 set 20 x 20 arabian (set B RM 1000.00)bersarung
01. Khemah 1
02. Meja bulat 5
03. Kerusi plastik 40 org 
04. Sarung kerusi 40 
05. Alas meja 5
06. Top 5 (kuning)
07. Lampu 1
08. Kipas 1
09. Scalop biru kuning
10. 2x waiter(RM 200.00)

Pinggan melamin 10 sahaja
Lain pinggan cawan pakai buang
150 pax 11.00 pg
Menu
  01. Nasi tomato
  02. Ayam masak merah
  03. Dalca daging
  04. Acar
  05. Buah
  06. Sirap 
RM 1800.00
Extra menu:
  07. Teh tarik 100 pax (RM 150.00)
  08. Bihun goreng 100 pax (RM 500.00)

JUMLAH RM 3650.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-03-04T10:00:00+08:00,"R - G - 18 kompleks permaisuri Q,no 6 jln sri permaisuri bandar sri permaisuri ,kuala lumpur. ,"
